ID;Recency;Frequency;Monetary;R;F;M;RFM_Concat;RFM_Score;RFM_Segment;Cluster
10364;72.0;4.0;20.0;2;1;1;211;7.25;Em Risco;0
5954;92.0;11.0;192.0;1;3;3;133;6.75;Não posso perdê-los;1
2541;7.0;7.0;48.0;5;2;2;522;17.5;Campeões;4
1142;91.0;16.0;428.0;1;4;4;144;8.0;Quase em risco;1
2276;71.0;27.0;868.0;2;5;5;255;12.25;Novos clientes;3
6471;17.0;7.0;59.0;5;2;2;522;17.5;Campeões;4
6131;87.0;16.0;431.0;1;4;4;144;8.0;Quase em risco;1
6233;21.0;27.0;971.0;4;5;5;455;18.25;Campeões;3
3225;71.0;14.0;265.0;2;4;4;244;11.0;Promissores;1
7540;52.0;13.0;270.0;3;4;4;344;14.0;Novos clientes;1
1992;2.0;16.0;893.0;5;4;5;545;20.5;Campeões;3
8594;25.0;9.0;135.0;4;3;3;433;15.75;Campeões;4
2815;46.0;9.0;120.0;3;3;3;333;12.75;Novos clientes;4
2416;83.0;20.0;1288.0;1;5;5;155;9.25;Precisam de atenção;3
9213;13.0;4.0;15.0;5;1;1;511;16.25;Campeões;0
9697;86.0;20.0;542.0;1;5;4;154;8.75;Quase em risco;3
3916;92.0;25.0;890.0;1;5;5;155;9.25;Precisam de atenção;3
1581;18.0;4.0;17.0;5;1;1;511;16.25;Campeões;0
6619;91.0;6.0;44.0;1;1;2;112;4.75;Hibernando;0
9081;58.0;5.0;25.0;3;1;1;311;10.25;Precisam de atenção;0
178;40.0;26.0;973.0;3;5;5;355;15.25;Fiéis;3
916;67.0;6.0;31.0;2;1;1;211;7.25;Em Risco;0
5512;19.0;17.0;518.0;5;4;4;544;20.0;Campeões;3
8970;93.0;19.0;530.0;1;5;4;154;8.75;Quase em risco;3
5300;60.0;6.0;70.0;2;1;2;212;7.75;Quase em risco;4
5154;54.0;6.0;54.0;3;1;2;312;10.75;Promissores;4
8346;26.0;12.0;296.0;4;3;4;434;16.25;Campeões;1
1676;30.0;15.0;266.0;4;4;4;444;17.0;Campeões;1
5172;4.0;17.0;1053.0;5;4;5;545;20.5;Campeões;3
5562;92.0;21.0;735.0;1;5;5;155;9.25;Precisam de atenção;3
3436;24.0;5.0;20.0;4;1;1;411;13.25;Novos clientes;0
3921;96.0;10.0;205.0;1;3;3;133;6.75;Não posso perdê-los;1
22;99.0;14.0;309.0;1;4;4;144;8.0;Quase em risco;1
9426;77.0;15.0;900.0;2;4;5;245;11.5;Novos clientes;3
6605;85.0;20.0;682.0;1;5;5;155;9.25;Precisam de atenção;3
3136;88.0;22.0;663.0;1;5;5;155;9.25;Precisam de atenção;3
8737;22.0;6.0;43.0;4;1;1;411;13.25;Novos clientes;0
716;63.0;27.0;976.0;2;5;5;255;12.25;Novos clientes;3
9135;92.0;6.0;64.0;1;1;2;112;4.75;Hibernando;4
10623;2.0;5.0;32.0;5;1;1;511;16.25;Campeões;0
8151;6.0;9.0;263.0;5;3;4;534;19.25;Campeões;1
10160;49.0;5.0;46.0;3;1;2;312;10.75;Promissores;0
6071;77.0;22.0;1157.0;2;5;5;255;12.25;Novos clientes;3
3386;71.0;8.0;137.0;2;2;3;223;9.0;Precisam de atenção;4
9925;97.0;12.0;216.0;1;3;3;133;6.75;Não posso perdê-los;1
4320;6.0;23.0;943.0;5;5;5;555;21.25;Campeões;3
5389;93.0;16.0;347.0;1;4;4;144;8.0;Quase em risco;1
182;62.0;17.0;397.0;2;4;4;244;11.0;Promissores;1
11025;9.0;11.0;138.0;5;3;3;533;18.75;Campeões;1
10203;77.0;5.0;42.0;2;1;1;211;7.25;Em Risco;0
4607;24.0;17.0;777.0;4;4;5;445;17.5;Campeões;3
3696;67.0;7.0;52.0;2;2;2;222;8.5;Quase em risco;4
9214;48.0;13.0;358.0;3;4;4;344;14.0;Novos clientes;1
35;35.0;10.0;210.0;4;3;3;433;15.75;Campeões;1
2258;76.0;5.0;42.0;2;1;1;211;7.25;Em Risco;0
4322;20.0;20.0;1291.0;4;5;5;455;18.25;Campeões;3
713;72.0;15.0;442.0;2;4;4;244;11.0;Promissores;1
3281;69.0;19.0;411.0;2;5;4;254;11.75;Novos clientes;3
702;80.0;19.0;521.0;1;5;4;154;8.75;Quase em risco;3
2004;65.0;17.0;1168.0;2;4;5;245;11.5;Novos clientes;3
4437;65.0;12.0;260.0;2;3;4;234;10.25;Precisam de atenção;1
8724;57.0;7.0;46.0;3;2;2;322;11.5;Novos clientes;4
10741;70.0;16.0;319.0;2;4;4;244;11.0;Promissores;1
1991;0.0;7.0;96.0;5;2;3;523;18.0;Campeões;2
11096;50.0;12.0;232.0;3;3;4;334;13.25;Novos clientes;1
304;67.0;9.0;76.0;2;3;2;232;9.25;Precisam de atenção;4
3665;46.0;9.0;54.0;3;3;2;332;12.25;Novos clientes;4
10591;37.0;11.0;201.0;4;3;3;433;15.75;Campeões;1
5036;38.0;14.0;406.0;4;4;4;444;17.0;Campeões;1
7822;56.0;20.0;662.0;3;5;5;355;15.25;Fiéis;3
8541;98.0;8.0;41.0;1;2;1;121;5.0;Hibernando;4
4368;72.0;8.0;134.0;2;2;3;223;9.0;Precisam de atenção;4
9671;47.0;10.0;69.0;3;3;2;332;12.25;Novos clientes;4
2256;33.0;6.0;21.0;4;1;1;411;13.25;Novos clientes;0
4279;87.0;7.0;54.0;1;2;2;122;5.5;Hibernando;4
5371;0.0;8.0;91.0;5;2;3;523;18.0;Campeões;2
9240;73.0;18.0;526.0;2;4;4;244;11.0;Promissores;3
9460;74.0;8.0;162.0;2;2;3;223;9.0;Precisam de atenção;4
8692;50.0;16.0;240.0;3;4;4;344;14.0;Novos clientes;1
448;57.0;21.0;795.0;3;5;5;355;15.25;Fiéis;3
8420;27.0;8.0;64.0;4;2;2;422;14.5;Potencialmente fiéis;4
7685;4.0;7.0;78.0;5;2;2;522;17.5;Campeões;4
10232;9.0;15.0;331.0;5;4;4;544;20.0;Campeões;1
4184;48.0;12.0;265.0;3;3;4;334;13.25;Novos clientes;1
9120;80.0;19.0;1065.0;1;5;5;155;9.25;Precisam de atenção;3
891;60.0;4.0;11.0;2;1;1;211;7.25;Em Risco;0
10381;43.0;4.0;21.0;3;1;1;311;10.25;Precisam de atenção;0
3525;19.0;4.0;17.0;5;1;1;511;16.25;Campeões;0
6818;26.0;16.0;369.0;4;4;4;444;17.0;Campeões;1
3526;58.0;6.0;38.0;3;1;1;311;10.25;Precisam de atenção;0
8181;42.0;11.0;177.0;3;3;3;333;12.75;Novos clientes;1
1029;27.0;12.0;279.0;4;3;4;434;16.25;Campeões;1
7369;56.0;7.0;62.0;3;2;2;322;11.5;Novos clientes;4
8159;10.0;11.0;182.0;5;3;3;533;18.75;Campeões;1
1160;48.0;10.0;49.0;3;3;2;332;12.25;Novos clientes;4
10242;39.0;8.0;75.0;4;2;2;422;14.5;Potencialmente fiéis;4
5253;85.0;16.0;227.0;1;4;3;143;7.5;Quase em risco;1
5966;64.0;15.0;215.0;2;4;3;243;10.5;Precisam de atenção;1
5081;54.0;5.0;47.0;3;1;2;312;10.75;Promissores;0
5123;57.0;7.0;143.0;3;2;3;323;12.0;Novos clientes;4
5756;64.0;7.0;55.0;2;2;2;222;8.5;Quase em risco;4
8036;10.0;11.0;63.0;5;3;2;532;18.25;Campeões;4
5057;74.0;20.0;611.0;2;5;5;255;12.25;Novos clientes;3
254;4.0;18.0;473.0;5;4;4;544;20.0;Campeões;3
4179;94.0;6.0;55.0;1;1;2;112;4.75;Hibernando;4
3710;41.0;7.0;81.0;3;2;3;323;12.0;Novos clientes;4
6424;9.0;5.0;49.0;5;1;2;512;16.75;Campeões;0
3075;47.0;15.0;382.0;3;4;4;344;14.0;Novos clientes;1
4992;12.0;9.0;69.0;5;3;2;532;18.25;Campeões;4
5252;80.0;6.0;67.0;1;1;2;112;4.75;Hibernando;4
7444;20.0;6.0;30.0;4;1;1;411;13.25;Novos clientes;0
6919;39.0;9.0;63.0;4;3;2;432;15.25;Fiéis;4
3537;57.0;10.0;79.0;3;3;3;333;12.75;Novos clientes;4
10277;27.0;5.0;42.0;4;1;1;411;13.25;Novos clientes;0
2453;83.0;23.0;819.0;1;5;5;155;9.25;Precisam de atenção;3
7972;79.0;17.0;1151.0;2;4;5;245;11.5;Novos clientes;3
895;69.0;20.0;594.0;2;5;5;255;12.25;Novos clientes;3
1177;77.0;11.0;129.0;2;3;3;233;9.75;Precisam de atenção;1
7141;15.0;12.0;213.0;5;3;3;533;18.75;Campeões;1
7232;99.0;7.0;67.0;1;2;2;122;5.5;Hibernando;4
8477;61.0;5.0;28.0;2;1;1;211;7.25;Em Risco;0
2457;23.0;6.0;45.0;4;1;2;412;13.75;Novos clientes;0
988;84.0;18.0;1193.0;1;4;5;145;8.5;Quase em risco;3
7930;74.0;12.0;268.0;2;3;4;234;10.25;Precisam de atenção;1
4587;90.0;12.0;266.0;1;3;4;134;7.25;Em Risco;1
6682;41.0;5.0;37.0;3;1;1;311;10.25;Precisam de atenção;0
6222;28.0;7.0;37.0;4;2;1;421;14.0;Novos clientes;4
3083;88.0;18.0;373.0;1;4;4;144;8.0;Quase em risco;1
8953;94.0;6.0;35.0;1;1;1;111;4.25;Perdidos;0
8650;31.0;5.0;42.0;4;1;1;411;13.25;Novos clientes;0
10862;6.0;17.0;326.0;5;4;4;544;20.0;Campeões;1
2782;23.0;17.0;404.0;4;4;4;444;17.0;Campeões;1
6941;92.0;6.0;95.0;1;1;3;113;5.25;Hibernando;4
10972;52.0;14.0;939.0;3;4;5;345;14.5;Potencialmente fiéis;3
10708;50.0;5.0;33.0;3;1;1;311;10.25;Precisam de atenção;0
6583;54.0;21.0;981.0;3;5;5;355;15.25;Fiéis;3
3641;93.0;7.0;36.0;1;2;1;121;5.0;Hibernando;4
3469;94.0;9.0;103.0;1;3;3;133;6.75;Não posso perdê-los;4
5063;76.0;12.0;191.0;2;3;3;233;9.75;Precisam de atenção;1
9624;46.0;14.0;963.0;3;4;5;345;14.5;Potencialmente fiéis;3
4376;27.0;7.0;93.0;4;2;3;423;15.0;Fiéis;4
8461;3.0;4.0;16.0;5;1;1;511;16.25;Campeões;0
944;6.0;14.0;393.0;5;4;4;544;20.0;Campeões;1
1907;53.0;26.0;1477.0;3;5;5;355;15.25;Fiéis;3
701;58.0;18.0;1179.0;3;4;5;345;14.5;Potencialmente fiéis;3
2942;20.0;15.0;486.0;4;4;4;444;17.0;Campeões;1
3376;9.0;11.0;235.0;5;3;4;534;19.25;Campeões;1
4679;42.0;28.0;1092.0;3;5;5;355;15.25;Fiéis;3
10928;28.0;17.0;599.0;4;4;5;445;17.5;Campeões;3
6728;38.0;6.0;48.0;4;1;2;412;13.75;Novos clientes;0
6661;63.0;32.0;1174.0;2;5;5;255;12.25;Novos clientes;3
4725;71.0;7.0;67.0;2;2;2;222;8.5;Quase em risco;4
3277;9.0;15.0;365.0;5;4;4;544;20.0;Campeões;1
2564;87.0;10.0;165.0;1;3;3;133;6.75;Não posso perdê-los;1
946;92.0;11.0;210.0;1;3;3;133;6.75;Não posso perdê-los;1
6940;86.0;12.0;223.0;1;3;3;133;6.75;Não posso perdê-los;1
55;83.0;22.0;597.0;1;5;5;155;9.25;Precisam de atenção;3
7093;74.0;4.0;22.0;2;1;1;211;7.25;Em Risco;0
1777;29.0;6.0;74.0;4;1;2;412;13.75;Novos clientes;4
8162;88.0;5.0;26.0;1;1;1;111;4.25;Perdidos;0
10826;77.0;5.0;60.0;2;1;2;212;7.75;Quase em risco;0
8754;25.0;4.0;20.0;4;1;1;411;13.25;Novos clientes;0
1987;34.0;7.0;59.0;4;2;2;422;14.5;Potencialmente fiéis;4
11007;43.0;5.0;34.0;3;1;1;311;10.25;Precisam de atenção;0
7426;76.0;12.0;198.0;2;3;3;233;9.75;Precisam de atenção;1
9153;81.0;28.0;1048.0;1;5;5;155;9.25;Precisam de atenção;3
10379;87.0;21.0;574.0;1;5;5;155;9.25;Precisam de atenção;3
3197;38.0;20.0;670.0;4;5;5;455;18.25;Campeões;3
2920;63.0;16.0;990.0;2;4;5;245;11.5;Novos clientes;3
6961;26.0;4.0;11.0;4;1;1;411;13.25;Novos clientes;0
9937;75.0;17.0;576.0;2;4;5;245;11.5;Novos clientes;3
8779;13.0;12.0;172.0;5;3;3;533;18.75;Campeões;1
10120;84.0;12.0;257.0;1;3;4;134;7.25;Em Risco;1
6327;87.0;17.0;1146.0;1;4;5;145;8.5;Quase em risco;3
10142;99.0;20.0;689.0;1;5;5;155;9.25;Precisam de atenção;3
10767;40.0;21.0;1346.0;3;5;5;355;15.25;Fiéis;3
7279;3.0;15.0;1044.0;5;4;5;545;20.5;Campeões;3
7230;98.0;22.0;493.0;1;5;4;154;8.75;Quase em risco;3
143;73.0;13.0;957.0;2;4;5;245;11.5;Novos clientes;3
450;90.0;12.0;270.0;1;3;4;134;7.25;Em Risco;1
9316;29.0;5.0;29.0;4;1;1;411;13.25;Novos clientes;0
6379;3.0;9.0;121.0;5;3;3;533;18.75;Campeões;4
9239;94.0;8.0;126.0;1;2;3;123;6.0;Hibernando;4
8315;65.0;4.0;23.0;2;1;1;211;7.25;Em Risco;0
2868;33.0;8.0;57.0;4;2;2;422;14.5;Potencialmente fiéis;4
10888;46.0;20.0;636.0;3;5;5;355;15.25;Fiéis;3
9977;99.0;20.0;734.0;1;5;5;155;9.25;Precisam de atenção;3
968;24.0;12.0;187.0;4;3;3;433;15.75;Campeões;1
6988;93.0;22.0;1443.0;1;5;5;155;9.25;Precisam de atenção;3
4472;34.0;6.0;57.0;4;1;2;412;13.75;Novos clientes;4
6991;88.0;20.0;637.0;1;5;5;155;9.25;Precisam de atenção;3
4301;10.0;5.0;59.0;5;1;2;512;16.75;Campeões;0
1940;26.0;4.0;18.0;4;1;1;411;13.25;Novos clientes;0
1272;49.0;26.0;903.0;3;5;5;355;15.25;Fiéis;3
1388;11.0;8.0;112.0;5;2;3;523;18.0;Campeões;4
1044;44.0;20.0;596.0;3;5;5;355;15.25;Fiéis;3
6969;75.0;13.0;233.0;2;4;4;244;11.0;Promissores;1
1715;45.0;7.0;48.0;3;2;2;322;11.5;Novos clientes;4
1463;9.0;4.0;21.0;5;1;1;511;16.25;Campeões;0
5114;1.0;16.0;965.0;5;4;5;545;20.5;Campeões;3
4329;43.0;6.0;16.0;3;1;1;311;10.25;Precisam de atenção;0
4692;19.0;12.0;71.0;5;3;2;532;18.25;Campeões;4
7212;99.0;6.0;65.0;1;1;2;112;4.75;Hibernando;4
5329;24.0;4.0;11.0;4;1;1;411;13.25;Novos clientes;0
5956;74.0;16.0;284.0;2;4;4;244;11.0;Promissores;1
6255;29.0;13.0;334.0;4;4;4;444;17.0;Campeões;1
6516;37.0;4.0;18.0;4;1;1;411;13.25;Novos clientes;0
7458;26.0;8.0;97.0;4;2;3;423;15.0;Fiéis;4
5237;79.0;9.0;63.0;2;3;2;232;9.25;Precisam de atenção;4
7761;71.0;9.0;109.0;2;3;3;233;9.75;Precisam de atenção;4
7235;37.0;9.0;38.0;4;3;1;431;14.75;Fiéis;4
10548;30.0;24.0;960.0;4;5;5;455;18.25;Campeões;3
2281;34.0;4.0;28.0;4;1;1;411;13.25;Novos clientes;0
7938;92.0;17.0;449.0;1;4;4;144;8.0;Quase em risco;3
7723;56.0;21.0;1440.0;3;5;5;355;15.25;Fiéis;3
4012;55.0;23.0;1226.0;3;5;5;355;15.25;Fiéis;3
10470;0.0;8.0;92.0;5;2;3;523;18.0;Campeões;2
6488;86.0;8.0;99.0;1;2;3;123;6.0;Hibernando;4
10270;8.0;8.0;66.0;5;2;2;522;17.5;Campeões;4
6887;33.0;19.0;564.0;4;5;4;454;17.75;Campeões;3
7573;12.0;6.0;86.0;5;1;3;513;17.25;Campeões;4
221;90.0;12.0;242.0;1;3;4;134;7.25;Em Risco;1
20;91.0;8.0;183.0;1;2;3;123;6.0;Hibernando;4
8786;52.0;18.0;450.0;3;4;4;344;14.0;Novos clientes;3
10582;3.0;21.0;758.0;5;5;5;555;21.25;Campeões;3
2371;22.0;9.0;81.0;4;3;3;433;15.75;Campeões;4
6825;86.0;4.0;16.0;1;1;1;111;4.25;Perdidos;0
1072;64.0;8.0;93.0;2;2;3;223;9.0;Precisam de atenção;4
2461;79.0;6.0;43.0;2;1;1;211;7.25;Em Risco;0
10839;42.0;6.0;29.0;3;1;1;311;10.25;Precisam de atenção;0
49;39.0;5.0;25.0;4;1;1;411;13.25;Novos clientes;0
4290;8.0;4.0;24.0;5;1;1;511;16.25;Campeões;0
10219;40.0;5.0;38.0;3;1;1;311;10.25;Precisam de atenção;0
4211;5.0;7.0;57.0;5;2;2;522;17.5;Campeões;4
1135;96.0;12.0;47.0;1;3;2;132;6.25;Hibernando;4
10846;22.0;22.0;629.0;4;5;5;455;18.25;Campeões;3
347;30.0;17.0;377.0;4;4;4;444;17.0;Campeões;1
10446;58.0;17.0;729.0;3;4;5;345;14.5;Potencialmente fiéis;3
3479;49.0;6.0;50.0;3;1;2;312;10.75;Promissores;0
11075;37.0;15.0;270.0;4;4;4;444;17.0;Campeões;1
4442;70.0;9.0;177.0;2;3;3;233;9.75;Precisam de atenção;4
199;33.0;13.0;315.0;4;4;4;444;17.0;Campeões;1
8523;39.0;10.0;60.0;4;3;2;432;15.25;Fiéis;4
310;81.0;21.0;573.0;1;5;5;155;9.25;Precisam de atenção;3
8629;71.0;5.0;41.0;2;1;1;211;7.25;Em Risco;0
236;62.0;10.0;170.0;2;3;3;233;9.75;Precisam de atenção;1
4599;66.0;21.0;458.0;2;5;4;254;11.75;Novos clientes;3
7326;83.0;6.0;63.0;1;1;2;112;4.75;Hibernando;4
7352;28.0;17.0;405.0;4;4;4;444;17.0;Campeões;1
2964;0.0;5.0;72.0;5;1;2;512;16.75;Campeões;2
5585;1.0;7.0;48.0;5;2;2;522;17.5;Campeões;4
3732;72.0;27.0;860.0;2;5;5;255;12.25;Novos clientes;3
11176;12.0;18.0;495.0;5;4;4;544;20.0;Campeões;3
2986;89.0;4.0;20.0;1;1;1;111;4.25;Perdidos;0
3900;54.0;21.0;769.0;3;5;5;355;15.25;Fiéis;3
7034;34.0;7.0;55.0;4;2;2;422;14.5;Potencialmente fiéis;4
1143;43.0;7.0;55.0;3;2;2;322;11.5;Novos clientes;4
1;0.0;18.0;577.0;5;4;5;545;20.5;Campeões;2
3855;74.0;8.0;162.0;2;2;3;223;9.0;Precisam de atenção;4
6768;75.0;6.0;36.0;2;1;1;211;7.25;Em Risco;0
6646;23.0;5.0;22.0;4;1;1;411;13.25;Novos clientes;0
4887;65.0;6.0;63.0;2;1;2;212;7.75;Quase em risco;4
8560;94.0;18.0;680.0;1;4;5;145;8.5;Quase em risco;3
3321;42.0;20.0;542.0;3;5;4;354;14.75;Fiéis;3
11003;10.0;7.0;50.0;5;2;2;522;17.5;Campeões;4
10402;94.0;6.0;39.0;1;1;1;111;4.25;Perdidos;0
6141;46.0;14.0;385.0;3;4;4;344;14.0;Novos clientes;1
10856;42.0;5.0;46.0;3;1;2;312;10.75;Promissores;0
4186;11.0;9.0;76.0;5;3;2;532;18.25;Campeões;4
368;61.0;14.0;290.0;2;4;4;244;11.0;Promissores;1
3312;12.0;11.0;89.0;5;3;3;533;18.75;Campeões;4
11121;76.0;11.0;70.0;2;3;2;232;9.25;Precisam de atenção;4
5332;2.0;17.0;1066.0;5;4;5;545;20.5;Campeões;3
5935;60.0;23.0;764.0;2;5;5;255;12.25;Novos clientes;3
2895;79.0;11.0;195.0;2;3;3;233;9.75;Precisam de atenção;1
10262;96.0;11.0;53.0;1;3;2;132;6.25;Hibernando;4
7848;17.0;13.0;368.0;5;4;4;544;20.0;Campeões;1
9477;0.0;20.0;544.0;5;5;4;554;20.75;Campeões;2
7186;43.0;6.0;35.0;3;1;1;311;10.25;Precisam de atenção;0
5794;1.0;18.0;446.0;5;4;4;544;20.0;Campeões;3
4877;2.0;5.0;41.0;5;1;1;511;16.25;Campeões;0
425;66.0;22.0;727.0;2;5;5;255;12.25;Novos clientes;3
3007;49.0;6.0;40.0;3;1;1;311;10.25;Precisam de atenção;0
4297;71.0;7.0;40.0;2;2;1;221;8.0;Quase em risco;4
807;35.0;17.0;292.0;4;4;4;444;17.0;Campeões;1
9553;94.0;4.0;15.0;1;1;1;111;4.25;Perdidos;0
4271;80.0;17.0;341.0;1;4;4;144;8.0;Quase em risco;1
4120;61.0;13.0;369.0;2;4;4;244;11.0;Promissores;1
2036;29.0;17.0;401.0;4;4;4;444;17.0;Campeões;1
115;0.0;17.0;393.0;5;4;4;544;20.0;Campeões;2
4259;80.0;4.0;10.0;1;1;1;111;4.25;Perdidos;0
8687;54.0;16.0;486.0;3;4;4;344;14.0;Novos clientes;1
2447;71.0;7.0;69.0;2;2;2;222;8.5;Quase em risco;4
9353;61.0;16.0;995.0;2;4;5;245;11.5;Novos clientes;3
3623;55.0;10.0;45.0;3;3;2;332;12.25;Novos clientes;4
738;35.0;12.0;182.0;4;3;3;433;15.75;Campeões;1
7631;34.0;23.0;989.0;4;5;5;455;18.25;Campeões;3
10602;30.0;9.0;156.0;4;3;3;433;15.75;Campeões;4
3270;96.0;11.0;128.0;1;3;3;133;6.75;Não posso perdê-los;4
8443;16.0;9.0;86.0;5;3;3;533;18.75;Campeões;4
9653;16.0;7.0;68.0;5;2;2;522;17.5;Campeões;4
